state,quantity,alpha,alphaM,alphaP,beta,betaM,betaP,gamma,gammaM,gammaP,stderr,EC,ECnew
Alabama,29,-0.775,-0.906,-0.643,0.841,0.248,1.434,-0.056,-0.073,-0.040,0.207,9,8
Alaska,29,-0.484,-0.808,-0.160,2.291,0.786,3.796,0.032,-0.009,0.073,0.520,3,3
Arizona,30,-0.210,-0.356,-0.063,1.264,0.568,1.960,0.019,0.000,0.037,0.248,11,12
Arkansas,27,-0.595,-0.783,-0.407,0.488,-0.428,1.403,-0.068,-0.091,-0.045,0.281,6,6
California,30,0.538,0.486,0.590,0.828,0.594,1.062,0.034,0.027,0.040,0.083,55,55
Colorado,30,0.119,0.010,0.227,1.268,0.768,1.768,0.030,0.016,0.044,0.179,9,10
Connecticut,30,0.493,0.367,0.620,0.306,-0.312,0.924,0.027,0.011,0.043,0.214,7,7
Delaware,31,0.490,0.200,0.780,1.079,-0.189,2.347,0.069,0.031,0.107,0.486,3,3
Florida,31,-0.209,-0.377,-0.041,1.656,0.859,2.453,-0.009,-0.030,0.012,0.285,29,31
Georgia,30,-0.319,-0.407,-0.231,0.924,0.519,1.329,-0.013,-0.024,-0.001,0.145,16,16
Hawaii,32,0.948,0.756,1.140,0.005,-0.920,0.930,0.019,-0.006,0.044,0.340,4,4
Idaho,29,-0.770,-0.889,-0.652,0.914,0.369,1.460,-0.024,-0.039,-0.008,0.193,4,4
Illinois,30,0.332,0.210,0.453,1.165,0.607,1.722,0.012,-0.004,0.027,0.199,20,19
Indiana,30,-0.232,-0.401,-0.063,0.937,0.113,1.761,-0.004,-0.025,0.018,0.286,11,11
Iowa,30,-0.078,-0.272,0.115,1.386,0.496,2.276,0.019,-0.006,0.043,0.318,6,6
Kansas,27,-0.603,-0.712,-0.494,1.250,0.765,1.736,-0.006,-0.019,0.008,0.165,6,6
Kentucky,30,-0.576,-0.704,-0.448,1.057,0.469,1.645,-0.038,-0.055,-0.022,0.210,8,8
Louisiana,22,-0.516,-0.740,-0.292,0.306,-0.669,1.280,-0.042,-0.073,-0.012,0.305,8,8
Maine,30,0.155,-0.165,0.476,0.616,-0.793,2.024,0.003,-0.038,0.044,0.519,4,4
Maryland,31,0.608,0.485,0.732,0.666,0.080,1.252,0.024,0.008,0.040,0.209,10,10
Massachusetts,22,0.678,0.392,0.964,0.435,-0.868,1.737,0.001,-0.033,0.035,0.389,11,11
Michigan,30,0.131,0.028,0.234,0.784,0.332,1.236,0.001,-0.012,0.014,0.167,16,15
Minnesota,30,0.178,0.084,0.273,0.741,0.325,1.156,0.002,-0.010,0.014,0.153,10,9
Mississippi,29,-0.418,-0.646,-0.189,0.745,-0.276,1.766,-0.021,-0.050,0.008,0.368,6,6
Missouri,32,-0.296,-0.399,-0.192,0.971,0.487,1.456,-0.026,-0.039,-0.013,0.177,10,10
Montana,30,-0.303,-0.528,-0.078,1.022,0.031,2.012,-0.016,-0.045,0.013,0.365,3,4
Nebraska,29,-0.655,-0.911,-0.398,1.387,0.241,2.534,-0.009,-0.042,0.024,0.414,5,5
Nevada,30,-0.001,-0.140,0.139,0.732,0.069,1.396,0.007,-0.011,0.025,0.236,6,6
New Hampshire,30,0.038,-0.093,0.170,1.528,0.923,2.133,0.024,0.007,0.041,0.216,4,4
New Jersey,30,0.285,0.213,0.357,0.595,0.277,0.913,0.019,0.010,0.028,0.117,14,14
New Mexico,30,0.305,0.142,0.469,1.177,0.458,1.896,0.030,0.009,0.051,0.265,5,5
New York,31,0.755,0.636,0.873,0.706,0.143,1.269,0.037,0.022,0.052,0.201,29,27
North Carolina,30,-0.060,-0.115,-0.004,0.821,0.567,1.076,0.007,-0.001,0.014,0.091,15,16
North Dakota,31,-0.675,-1.373,0.023,0.383,-2.933,3.699,-0.128,-0.217,-0.040,1.185,3,3
Ohio,31,-0.207,-0.293,-0.121,1.538,1.130,1.945,-0.008,-0.019,0.003,0.146,18,17
Oklahoma,30,-0.908,-1.027,-0.790,1.100,0.556,1.643,-0.048,-0.064,-0.033,0.194,7,7
Oregon,30,0.370,0.226,0.514,0.340,-0.320,1.000,0.016,-0.003,0.034,0.236,7,8
Pennsylvania,31,0.035,-0.047,0.118,1.238,0.846,1.629,0.009,-0.002,0.019,0.140,20,19
Rhode Island,29,0.636,0.383,0.889,0.305,-0.832,1.441,0.012,-0.020,0.044,0.408,4,3
South Carolina,30,-0.389,-0.506,-0.272,1.315,0.778,1.852,-0.008,-0.023,0.007,0.192,9,9
South Dakota,29,-0.542,-0.851,-0.232,1.722,0.287,3.157,-0.054,-0.094,-0.015,0.496,3,3
Tennessee,30,-0.603,-0.737,-0.470,1.003,0.415,1.590,-0.043,-0.060,-0.026,0.217,11,11
Texas,30,-0.438,-0.543,-0.333,0.930,0.469,1.392,-0.016,-0.029,-0.003,0.170,38,41
Utah,31,-0.748,-0.893,-0.602,0.601,-0.091,1.293,-0.020,-0.039,-0.002,0.247,6,6
Vermont,24,0.864,0.541,1.188,0.211,-1.437,1.859,0.037,-0.004,0.078,0.492,3,3
Virginia,29,0.009,-0.125,0.142,1.334,0.739,1.930,0.017,0.000,0.034,0.215,13,13
Washington,31,0.312,0.251,0.373,0.970,0.679,1.260,0.015,0.008,0.023,0.104,12,12
West Virginia,28,-0.531,-0.822,-0.239,0.453,-0.783,1.689,-0.121,-0.160,-0.082,0.460,5,4
Wisconsin,31,0.026,-0.103,0.155,0.980,0.366,1.594,-0.001,-0.017,0.016,0.219,10,10
Wyoming,30,-1.027,-1.250,-0.804,1.333,0.353,2.314,-0.048,-0.077,-0.020,0.362,3,3
