state,quantity,alpha,alphaSE,beta,betaSE,gamma,gammaSE,stderr,P
Alabama,14,-0.7925886547687848,0.09152616161006642,0.9124285798404717,0.3616146622664099,-0.05301400578605342,0.010641356127968533,0.1596831482694484,0.25751128792762756
Alaska,14,-0.4327425948532829,0.23691261323204438,1.5509994676163714,0.9360282690051746,0.03199431534152926,0.027544818271201015,0.41333484634489714,0.6198428869247437
Arizona,14,-0.18580839714914815,0.08492359669531564,1.0134902490659636,0.33552830357137803,0.017716312922786037,0.009873704088596155,0.14816383691962284,0.010202896781265736
Arkansas,14,-0.658853086752858,0.1462737794563489,0.43806136231374876,0.5779193885775425,-0.06631566757828429,0.01700662796294672,0.2551997942661654,0.12215765565633774
California,14,0.5616889769394595,0.03426925595135964,0.8119196954163849,0.13539588243378411,0.03388861456472639,0.003984340110017408,0.05978861762474241,0.13803823292255402
Colorado,14,0.1552006642578786,0.09377798528418632,1.286958324020987,0.3705114896114651,0.03413548880924079,0.01090316605457497,0.16361184239695997,0.5988225340843201
Connecticut,14,0.49748188393304577,0.07403275653392337,0.4392741732603035,0.2924992131181172,0.025220634368328602,0.008607472590940834,0.12916289102964254,0.9949155449867249
Delaware,14,0.5552555397474692,0.14478222936019783,1.0871982856778009,0.572026358925857,0.07316009501706182,0.01683321179999792,0.25259752830236687,0.392166405916214
Florida,14,-0.2350201714295598,0.11998286416530607,1.558943990352656,0.4740454766118123,-0.00920633682732045,0.013949895465694591,0.20933076566596065,0.6307396292686462
Georgia,14,-0.32127523186483814,0.06367294303584621,0.7975112355509866,0.25156817882859295,-0.011050974872990449,0.007402981296724366,0.11108841258811088,0.2111101746559143
Hawaii,14,0.966700381363431,0.12294113388715414,0.0785007115624311,0.48573343213775866,0.019050134797667203,0.01429384085878217,0.21449197656244087,0.7537705898284912
Idaho,14,-0.7707342984354759,0.08210445441451793,0.9928643941187312,0.3243900326571578,-0.01991349726044827,0.009545934449209438,0.1432453577995744,0.5422631502151489
Illinois,14,0.3181232380289155,0.07604251137798478,1.0982730916475791,0.30043964027456,0.011981222497335246,0.00884113820795514,0.1326692544027374,0.5235788822174072
Indiana,14,-0.2675375858722373,0.0980152040600457,1.0665702013595266,0.38725250015563234,-0.006883608440130163,0.011395809394936306,0.1710044001327279,0.22069360315799713
Iowa,14,-0.0653216856961093,0.1263289059271092,1.0907670608261841,0.49911832691006597,0.017107371690326913,0.014687722653051264,0.22040252820628622,0.9091684818267822
Kansas,14,-0.5470635081336114,0.06176779050502653,1.2387567750186412,0.2440410294662779,-0.0007047610019239943,0.007181477344172258,0.10776454596131098,0.1559765487909317
Kentucky,14,-0.587951338854303,0.08940089579350964,1.033028112460516,0.3532178578231654,-0.03432847513267696,0.010394260543244578,0.15597525611569396,0.4089343249797821
Louisiana,13,-0.5486102795433332,0.17622636951111095,-0.24907033634699938,0.7402678037953256,-0.04903423628999504,0.021764956665620883,0.30348933512175796,0.09162656217813492
Maine,14,0.14175382249399726,0.18942546061165128,0.5392660675809379,0.7484092281239905,-0.0019120005788592076,0.022023689736502153,0.3304853320706947,0.9617714285850525
Maryland,14,0.6074267710889684,0.06621092733379348,0.7224068058854417,0.261595610533308,0.023418969181928262,0.007698061897577168,0.11551636319617037,0.6787958145141602
Massachusetts,13,0.6398840981955446,0.14820853294064595,0.4325056927241323,0.6054593695761648,-0.006240670674293744,0.01721597504432939,0.2575390221193608,0.008951837196946144
Michigan,14,0.10549671386480683,0.07305731080179108,0.8515895555333493,0.2886452824738167,0.0008948999581495959,0.008494061679388031,0.12746105799378898,0.39269590377807617
Minnesota,14,0.16348085716727567,0.05352407487862045,0.8001933994701993,0.21147057759085156,0.0007437828305657682,0.006223015716861558,0.09338196461510723,0.9299156069755554
Mississippi,14,-0.4196381743468947,0.13289246076271338,0.4027237152990591,0.5250505589996834,-0.024910789258230422,0.015450839157037077,0.23185377975612909,0.9097294211387634
Missouri,14,-0.3620043301768869,0.0476088569506373,1.1094113440043905,0.18809988777242723,-0.02965453929095937,0.005535278577677413,0.08306184843385195,0.11917663365602493
Montana,14,-0.35405839723813076,0.09189479311666388,1.1283810254120068,0.36307110439633244,-0.01816730696192224,0.010684215339724898,0.1603262894051553,0.9113044738769531
Nebraska,14,-0.690930824886431,0.25128122266600417,1.8188298017873006,0.9927978281814424,-0.001896850423149526,0.02921539515720513,0.4384033595470988,0.26823097467422485
Nevada,14,-0.035948717233441244,0.10975150058233474,0.8588027517125517,0.4336219406359072,0.005860743736625058,0.012760338494814786,0.1914803902183514,0.14684508740901947
New Hampshire,14,0.06942380428319912,0.09708481497137393,1.376821365090761,0.38357658574867015,0.02641752033287928,0.011287637026992892,0.16938117616942439,0.19559338688850403
New Jersey,14,0.28650956740668965,0.046290093171130746,0.5785995640776072,0.18288952703680353,0.019047925365652973,0.005381951542220793,0.08076103795047904,0.6292566061019897
New Mexico,14,0.34135595114336825,0.07685014285393352,1.0390847587484482,0.3036305463310728,0.03019138236377677,0.008935038072262157,0.13407830657374872,0.5753499865531921
New York,14,0.726885884576726,0.07718934411037774,0.8825221737973723,0.3049707112154257,0.03217260054310498,0.008974475554457198,0.1346701015706451,0.5519186854362488
North Carolina,14,-0.0648204781308905,0.04367431444040853,0.7837185855899899,0.172554733949952,0.005872230159683151,0.005077826114737344,0.07619736155948696,0.4464660882949829
North Dakota,14,-0.8035372639506793,0.7193225469152981,0.633910339621684,2.842002497292321,-0.13594746437500546,0.08363256207786998,1.2549820389277597,0.00014444554108195007
Ohio,14,-0.22794074979054135,0.043893246737599104,1.4797505033913634,0.17341972301226038,-0.008765423058590963,0.005103280438411975,0.07657932664857477,0.6143887042999268
Oklahoma,14,-0.9205524801619327,0.07386304782647327,1.0912557544789299,0.29182870366105407,-0.04468132413701719,0.008587741283932814,0.1288668049683716,0.8952677249908447
Oregon,14,0.3679769900340857,0.08114826846221185,0.26319264665725833,0.3206121963082443,0.012840848693952942,0.009434762790046026,0.14157712676585363,0.4143469035625458
Pennsylvania,14,0.01900836326157384,0.06679425816747812,1.3042113218930764,0.2639003175012582,0.007416160801343429,0.007765883283642815,0.11653408427577,0.5024065971374512
Rhode Island,14,0.6203340484794647,0.1936118767352497,0.012621613459818992,0.7649495202766463,0.009809138135118776,0.022510426469337902,0.3377892558321895,0.9627085328102112
South Carolina,14,-0.34038193212493195,0.08438318585424341,1.3395976967531606,0.3333931710547103,-0.0009526585033107285,0.009810872826866154,0.14722099715727163,0.13778023421764374
South Dakota,14,-0.5755814478939392,0.2563550713685427,1.2956861520661116,1.0128443160127154,-0.05952497615224491,0.029805309887959066,0.4472555622442465,0.999476969242096
Tennessee,14,-0.6321302669227888,0.0745456514121847,0.9218143750780528,0.2945256316296987,-0.04311241660421418,0.008667104689127606,0.13005772445706157,0.34201282262802124
Texas,14,-0.4755708446843461,0.08250102176809136,1.0504252676567645,0.325956847730637,-0.01827228599638398,0.009592041642648617,0.1439372378304368,0.8392753601074219
Utah,14,-0.7267522423295554,0.08384998657022635,0.47700406220769165,0.3312865309900699,-0.018145335296059568,0.009748880022092187,0.1462907391979179,0.16946201026439667
Vermont,13,0.8838315268412362,0.21079786916965879,0.3719183286976397,0.8611484267682018,0.037402681866768886,0.024486382686724407,0.36629926775228405,0.5275443196296692
Virginia,14,-0.003734412469642588,0.12259178862900524,1.4561280189667292,0.48435318887924544,0.017441145254202723,0.014253223976808933,0.2138824836079359,0.01658414863049984
Washington,14,0.3058867102973043,0.0447530879747573,0.9590216859387215,0.1768169068677614,0.013671537483138034,0.005203250508795731,0.07807946773770154,0.7308269739151001
West Virginia,12,-0.6802629302810147,0.1651605436444955,0.6357463083750955,0.6103633478686631,-0.1210363520795999,0.0192117470001515,0.25110043740043825,0.736900269985199
Wisconsin,14,0.002862998451756039,0.06297789542993726,1.0453792268432918,0.24882208524345348,-0.0011194853673620062,0.0073221710784189195,0.10987578236352516,0.8355138897895813
Wyoming,14,-1.0543739757871058,0.14687751118305722,1.4174661562603903,0.5803046983142631,-0.048258020441782824,0.017076821273762345,0.2562531082163522,0.9952059984207153
